year,policy,n,baseline_n,hit_rate,baseline_hr,delta_hr,avg_return_bps,baseline_return_bps,delta_return_bps
2016,agreement_only,366,738,0.64,0.42,0.22,4.66,-10.98,15.64
2016,dual_threshold,318,738,0.72,0.42,0.3,13.83,-10.98,24.81
2016,sizing_simulation,738,738,0.42,0.42,0.0,-10.98,-10.98,0.0
2016,rank_filter_bottom_20pct,514,738,0.62,0.42,0.2,7.76,-10.98,18.74
2016,rank_filter_bottom_30pct,452,738,0.68,0.42,0.25,13.89,-10.98,24.87
2017,agreement_only,432,744,0.75,0.5,0.25,14.77,-1.52,16.29
2017,dual_threshold,392,744,0.78,0.5,0.28,17.26,-1.52,18.78
2017,sizing_simulation,744,744,0.5,0.5,0.0,-1.52,-1.52,0.0
2017,rank_filter_bottom_20pct,616,744,0.64,0.5,0.15,9.95,-1.52,11.47
2017,rank_filter_bottom_30pct,554,744,0.69,0.5,0.19,12.72,-1.52,14.24
2018,agreement_only,391,738,0.73,0.49,0.24,14.48,-9.84,24.33
2018,dual_threshold,345,738,0.81,0.49,0.32,19.65,-9.84,29.49
2018,sizing_simulation,738,738,0.49,0.49,0.0,-9.84,-9.84,0.0
2018,rank_filter_bottom_20pct,582,738,0.7,0.49,0.2,18.17,-9.84,28.01
2018,rank_filter_bottom_30pct,510,738,0.74,0.49,0.25,21.75,-9.84,31.59
2019,agreement_only,367,732,0.62,0.43,0.19,12.84,-14.2,27.04
2019,dual_threshold,327,732,0.66,0.43,0.23,14.88,-14.2,29.08
2019,sizing_simulation,732,732,0.43,0.43,0.0,-14.2,-14.2,0.0
2019,rank_filter_bottom_20pct,570,732,0.65,0.43,0.22,11.72,-14.2,25.92
2019,rank_filter_bottom_30pct,496,732,0.69,0.43,0.26,14.41,-14.2,28.61
2020,agreement_only,447,750,0.69,0.51,0.17,17.84,-8.66,26.5
2020,dual_threshold,391,750,0.78,0.51,0.26,34.75,-8.66,43.4
2020,sizing_simulation,750,750,0.51,0.51,0.0,-8.66,-8.66,0.0
2020,rank_filter_bottom_20pct,618,750,0.69,0.51,0.17,21.18,-8.66,29.84
2020,rank_filter_bottom_30pct,554,750,0.73,0.51,0.21,32.42,-8.66,41.08
2021,agreement_only,491,741,0.69,0.58,0.11,14.28,5.16,9.12
2021,dual_threshold,430,741,0.78,0.58,0.19,24.14,5.16,18.99
2021,sizing_simulation,741,741,0.58,0.58,0.0,5.16,5.16,0.0
2021,rank_filter_bottom_20pct,631,741,0.69,0.58,0.11,16.98,5.16,11.83
2021,rank_filter_bottom_30pct,569,741,0.75,0.58,0.16,23.9,5.16,18.74
2022,agreement_only,456,744,0.64,0.57,0.07,9.54,11.73,-2.19
2022,dual_threshold,411,744,0.73,0.57,0.16,19.42,11.73,7.69
2022,sizing_simulation,744,744,0.57,0.57,0.0,11.73,11.73,0.0
2022,rank_filter_bottom_20pct,644,744,0.7,0.57,0.13,25.43,11.73,13.7
2022,rank_filter_bottom_30pct,561,744,0.73,0.57,0.16,22.62,11.73,10.89
2023,agreement_only,408,735,0.61,0.44,0.17,6.27,-2.59,8.86
2023,dual_threshold,371,735,0.7,0.44,0.25,13.08,-2.59,15.68
2023,sizing_simulation,735,735,0.44,0.44,0.0,-2.59,-2.59,0.0
2023,rank_filter_bottom_20pct,618,735,0.61,0.44,0.16,9.51,-2.59,12.1
2023,rank_filter_bottom_30pct,524,735,0.72,0.44,0.27,15.33,-2.59,17.92
2024,agreement_only,357,738,0.73,0.58,0.15,9.46,4.57,4.9
2024,dual_threshold,328,738,0.75,0.58,0.18,14.54,4.57,9.98
2024,sizing_simulation,738,738,0.58,0.58,0.0,4.57,4.57,0.0
2024,rank_filter_bottom_20pct,560,738,0.67,0.58,0.1,15.59,4.57,11.03
2024,rank_filter_bottom_30pct,486,738,0.72,0.58,0.14,18.81,4.57,14.24
2025,agreement_only,329,744,0.66,0.5,0.16,-1.55,-0.85,-0.7
2025,dual_threshold,290,744,0.64,0.5,0.14,3.8,-0.85,4.65
2025,sizing_simulation,744,744,0.5,0.5,0.0,-0.85,-0.85,0.0
2025,rank_filter_bottom_20pct,572,744,0.58,0.5,0.08,6.68,-0.85,7.53
2025,rank_filter_bottom_30pct,477,744,0.63,0.5,0.13,10.53,-0.85,11.39
