year,label,n,hit_rate,avg_return_bps
2016,baseline_all,738,0.42,-10.98
2017,baseline_all,744,0.5,-1.52
2018,baseline_all,738,0.49,-9.84
2019,baseline_all,732,0.43,-14.2
2020,baseline_all,750,0.51,-8.66
2021,baseline_all,741,0.58,5.16
2022,baseline_all,744,0.57,11.73
2023,baseline_all,735,0.44,-2.59
2024,baseline_all,738,0.58,4.57
2025,baseline_all,744,0.5,-0.85
2016,dual_threshold,318,0.72,13.83
2017,dual_threshold,392,0.78,17.26
2018,dual_threshold,345,0.81,19.65
2019,dual_threshold,327,0.66,14.88
2020,dual_threshold,391,0.78,34.75
2021,dual_threshold,430,0.78,24.14
2022,dual_threshold,411,0.73,19.42
2023,dual_threshold,371,0.7,13.08
2024,dual_threshold,328,0.75,14.54
2025,dual_threshold,290,0.64,3.8
2016,rank_filter_bottom_30pct,452,0.68,13.89
2017,rank_filter_bottom_30pct,554,0.69,12.72
2018,rank_filter_bottom_30pct,510,0.74,21.75
2019,rank_filter_bottom_30pct,496,0.69,14.41
2020,rank_filter_bottom_30pct,554,0.73,32.42
2021,rank_filter_bottom_30pct,569,0.75,23.9
2022,rank_filter_bottom_30pct,561,0.73,22.62
2023,rank_filter_bottom_30pct,524,0.72,15.33
2024,rank_filter_bottom_30pct,486,0.72,18.81
2025,rank_filter_bottom_30pct,477,0.63,10.53
2016,rank_gate_20,514,0.62,7.76
2017,rank_gate_20,616,0.64,9.95
2018,rank_gate_20,582,0.7,18.17
2019,rank_gate_20,570,0.65,11.72
2020,rank_gate_20,618,0.69,21.18
2021,rank_gate_20,631,0.69,16.98
2022,rank_gate_20,644,0.7,25.43
2023,rank_gate_20,618,0.61,9.51
2024,rank_gate_20,560,0.67,15.59
2025,rank_gate_20,572,0.58,6.68
2016,rank_gate_30,452,0.68,13.89
2017,rank_gate_30,554,0.69,12.72
2018,rank_gate_30,510,0.74,21.75
2019,rank_gate_30,496,0.69,14.41
2020,rank_gate_30,554,0.73,32.42
2021,rank_gate_30,569,0.75,23.9
2022,rank_gate_30,561,0.73,22.62
2023,rank_gate_30,524,0.72,15.33
2024,rank_gate_30,486,0.72,18.81
2025,rank_gate_30,477,0.63,10.53
2016,rank_gate_40,387,0.72,17.91
2017,rank_gate_40,482,0.69,15.14
2018,rank_gate_40,448,0.78,24.46
2019,rank_gate_40,416,0.72,15.5
2020,rank_gate_40,469,0.77,37.25
2021,rank_gate_40,510,0.77,25.87
2022,rank_gate_40,491,0.76,28.03
2023,rank_gate_40,448,0.72,15.77
2024,rank_gate_40,418,0.74,20.1
2025,rank_gate_40,373,0.66,12.48
